マスター,地名,センター(center.csvを使わない場合は空白化),燃やせるごみの日,プラスチック容器の日,かみの日,カンの日,ビンの日
1,南部 南條,韮山リサイクルプラザ,月 木,火,水2 水4,水1,水3
1,南部 中,韮山リサイクルプラザ,月 木,金,水2 水4,水1,水3
1,南部 立花台,韮山リサイクルプラザ,月 木,金,水2 水4,水1,水3
1,南部 内中,韮山リサイクルプラザ,月 木,金,水2 水4,水1,水3
1,南部 高原,韮山リサイクルプラザ,木,金,水2 水4,水1,水3
1,北部 金谷,韮山リサイクルプラザ,火 金,月,水1 水3,水2,水4
1,北部 山木,韮山リサイクルプラザ,火 金,月,水1 ,水2,水4
1,北部 多田,韮山リサイクルプラザ,火 金,月,水1 水3,水2,水4
1,北部 奈古谷,韮山リサイクルプラザ,火 金,月,水1 水3,水2,水4
1,北部 大仙,韮山リサイクルプラザ,火 金,月,水1 水3,水2,水4
1,北部 長崎,韮山リサイクルプラザ,火 金,月,水1 ,水2,水4
1,北部 土手和田,韮山リサイクルプラザ,火 金,月,水1 水3,水2,水4
1,北部 原木,韮山リサイクルプラザ,火 金,木,水1 水3,水2,水4
1,北部 四日町,韮山リサイクルプラザ,火 金,木,水1 水3,水2,水4
1,北部 寺家,韮山リサイクルプラザ,火 金,木,水1 水3,水2,水4
1,南部 寺家(21組),韮山リサイクルプラザ,月 木,火,水1 水4,水1,水3
1,北部 中条,韮山リサイクルプラザ,火 金,木,水1 水3,水2,水4
1,南部 中条(6、8組),韮山リサイクルプラザ,月 木,火,水1 水4,水1,水3
2,南部 墹之上,長岡清掃センター,月 木,火,水2 水4,水1,水3
2,南部 小坂,長岡清掃センター,月 木,火,水2 水4,水1,水3
2,南部 長瀬,長岡清掃センター,月 木,火,水2 水4,水1,水3
2,南部 戸沢,長岡清掃センター,月 木,火,水2 水4,水1,水3
2,南部 長岡（最明寺、岩ノ鼻）,長岡清掃センター,月 木,火,水2 水4,水1,水3
2,南部 古奈（中町、湯谷、湯元）,長岡清掃センター,月 木,火,水2 水4,水1,水3
2,南部 長岡（最明寺、岩ノ鼻を除く）,長岡清掃センター,月 木,金,水2 水4,水1,水3
2,南部 花坂,長岡清掃センター,月 木,金,水2 水4,水1,水3
2,北部 古奈（上町、曙）,長岡清掃センター,火 金,月,水1 水3,水2,水4
2,北部 富士見,長岡清掃センター,火 金,月,水1 水3,水2,水4
2,北部 天野,長岡清掃センター,火 金,月,水1 水3,水2,水4
2,北部 江間,長岡清掃センター,火 金,木,水1 水3,水2,水4
3,南部 大仁,大仁清掃センター,月 木,火,水1 水3,水2,水4
3,南部 吉田,大仁清掃センター,月 木,火,水1 水3,水2,水4
3,南部 中島,大仁清掃センター,月 木,金,水1 水3,水2,水4
3,南部 神島,大仁清掃センター,月 木,金,水1 水3,水2,水4
3,南部 三福（深沢川以南）,大仁清掃センター,月 木,金,水1 水3,水2,水4
3,北部 田京,大仁清掃センター,火 金,月,水2 水4,水1,水3
3,北部 御門,大仁清掃センター,火 金,月,水2 水4,水1,水3
3,北部 白山堂,大仁清掃センター,火 金,月,水2 水4,水1,水3
3,北部 三福（深沢川以北）,大仁清掃センター,火 金,月,水2 水4,水1,水3
3,北部 守木,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 宗光寺,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 立花,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 星和,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 田中山,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 下畑,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 浮橋,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 田原野,大仁清掃センター,火 金,木,水2 水4,水1,水3
3,北部 長者原,大仁清掃センター,火 金,木,水2 水4,水1,水3
